"Stimulus","Subject","Mode","Trial","Translation","Correct","Sex","Age","NrLang","DS.Total","WST.Right","Raven.Right","English.Total","Status","MinLev"
"agg",3691,"Auditory",39,"Tinte",0,"female",59,3,8,35,18,38,"target",0
"agg",1350,"Auditory",35,"eng",0,"male",43,4,10,38,31,38,"target",0
"agg",8531,"Auditory",11,"eng",0,"female",52,4,8,36,30,31,"target",0
"agg",9193,"Auditory",31,,0,"female",25,9,6,32,20,38,"target",0
"agg",7337,"Auditory",28,"Tinte",0,"female",49,3,5,36,19,30,"target",0
"agg",5731,"Auditory",32,"tinte",0,"female",76,3,6,38,16,41,"target",0
"agg",6532,"Auditory",46,,0,"male",81,6,3,37,10,31,"target",0
"agg",4420,"Auditory",27,"eng",0,"female",47,2,5,29,7,28,"target",0
"agg",2151,"Auditory",12,,0,"female",26,4,11,32,28,33,"target",0
"agg",8805,"Auditory",29,"eng",0,"male",70,4,4,35,22,35,"target",0
"agg",9861,"Auditory",29,"ei",1,"male",24,4,7,36,25,41,"target",0
"agg",8094,"Auditory",41,,0,"male",56,3,7,37,19,33,"target",0
"agg",6215,"Auditory",21,"tinte",0,"male",72,4,7,38,19,38,"target",0
"agg",5362,"Auditory",33,"Tinte",0,"male",33,3,4,35,20,43,"target",0
"agg",3071,"Auditory",45,"eng",0,"female",48,3,7,26,24,28,"target",0
"agg",1668,"Auditory",33,"Tinte",0,"female",37,3,6,35,21,37,"target",0
"agg",9490,"Auditory",45,"eng",0,"female",39,2,9,35,21,32,"target",0
"agg",8706,"Auditory",18,"end",0,"male",70,3,7,34,7,15,"target",0
"agg",6618,"Auditory",47,,0,"male",44,1,4,33,7,29,"target",0
"agg",7616,"Auditory",10,,0,"female",11,2,6,13,2,15,"target",0
"agg",5997,"Auditory",36,,0,"female",33,4,8,37,23,41,"target",0
"agg",3566,"Auditory",16,"ich",0,"female",29,3,10,34,19,39,"target",0
"agg",78,"Auditory",41,"eng",0,"female",47,3,8,33,26,27,"target",0
"agg",1312,"Auditory",8,"end",0,"male",77,2,6,32,2,9,"target",0
"agg",9093,"Auditory",38,"ich",0,"female",15,3,6,18,23,21,"target",0
"agg",7330,"Auditory",20,,0,"female",68,4,8,37,12,37,"target",0
"agg",9442,"Auditory",15,"Ei",1,"female",23,2,6,32,27,34,"target",0
"agg",6516,"Auditory",43,"ei",1,"male",10,1,3,7,6,13,"target",0
"agg",4369,"Auditory",21,"eng",0,"female",41,4,10,34,29,33,"target",0
"agg",717,"Auditory",2,"eng",0,"female",15,2,6,29,21,25,"target",0
"agg",1976,"Auditory",14,,0,"male",11,1,3,15,18,9,"target",0
"agg",9802,"Auditory",2,"eng",0,"female",28,4,6,34,18,37,"target",0
"agg",7921,"Auditory",42,"Ich",0,"female",15,4,6,27,26,31,"target",0
"agg",6843,"Auditory",25,"eng",0,"male",71,2,6,31,4,28,"target",0
"agg",5290,"Auditory",38,,0,"female",10,2,6,20,4,10,"target",0
"agg",3859,"Auditory",11,"eng",0,"female",24,5,9,35,21,44,"target",0
"agg",1644,"Auditory",19,"tinte",0,"female",45,3,6,34,19,32,"target",0
"agg",447,"Auditory",47,"Tinte",0,"female",53,3,8,34,16,30,"target",0
"agg",8699,"Auditory",9,"tinte",0,"female",80,4,5,36,12,30,"target",0
"agg",8707,"Auditory",14,"eng",0,"female",63,3,4,35,6,34,"target",0
"agg",7601,"Auditory",14,"Tinte",0,"female",38,3,9,36,22,39,"target",0
"agg",5916,"Auditory",46,,0,"female",11,2,9,6,29,18,"target",0
"agg",2290,"Auditory",39,"ink",0,"male",58,2,5,36,0,33,"target",0
"agg",3558,"Auditory",13,,0,"male",10,2,3,4,14,9,"target",0
"agg",2846,"Auditory",2,,0,"female",11,3,6,4,15,6,"target",0
"agg",6780,"Auditory",12,,0,"male",68,4,7,40,21,36,"target",0
"agg",527,"Auditory",13,"ich",0,"male",71,2,8,34,15,35,"target",0
"agg",552,"Auditory",16,"eng",0,"female",56,3,6,36,24,30,"target",0
"agg",5584,"Auditory",8,"Tinte",0,"female",30,4,9,37,29,39,"target",0
"agg",3204,"Auditory",22,,0,"female",15,2,9,25,23,28,"target",0
"agg",7165,"Auditory",32,"ich",0,"male",16,3,6,32,18,34,"target",0
"agg",5180,"Auditory",9,"eng",0,"male",65,5,6,38,11,34,"target",0
"agg",5566,"Auditory",3,"ich",0,"female",42,4,4,32,6,31,"target",0
"agg",8788,"Auditory",30,"tinte",0,"male",35,3,9,37,29,42,"target",0
"agg",3125,"Auditory",3,,0,"male",12,1,4,20,15,14,"target",0
"agg",6164,"Auditory",26,"tinte",0,"male",10,1,5,8,13,29,"target",0
"agg",776,"Auditory",50,"eng",0,"female",40,2,6,29,11,6,"target",0
"agg",8927,"Auditory",49,"tinte",0,"male",59,5,5,36,9,32,"target",0
"agg",3270,"Auditory",24,,0,"female",36,5,9,36,17,42,"target",0
"agg",8578,"Auditory",14,,0,"male",11,2,6,9,20,17,"target",0
"agg",7215,"Auditory",38,,0,"male",74,3,4,34,13,21,"target",0
"agg",6552,"Auditory",1,"eng",0,"female",15,6,10,33,30,33,"target",0
"agg",4650,"Auditory",11,"tinte",0,"female",48,4,8,41,21,41,"target",0
"agg",4675,"Auditory",43,"ich",0,"male",71,2,6,33,3,17,"target",0
"agg",1830,"Auditory",3,,0,"male",15,3,5,18,5,22,"target",0
"agg",6544,"Auditory",22,"eng",0,"female",16,4,6,29,25,27,"target",0
"agg",2909,"Auditory",13,,0,"male",58,2,8,34,9,16,"target",0
"agg",7859,"Auditory",2,"Tinte",0,"female",62,4,5,35,11,28,"target",0
"agg",8942,"Auditory",1,"eng",0,"male",32,3,6,35,25,42,"target",0
"agg",2384,"Auditory",12,,0,"female",27,2,7,36,22,36,"target",0
"agg",134,"Auditory",38,,0,"male",33,3,6,32,24,24,"target",0
"agg",3914,"Auditory",33,"eng",0,"female",11,3,6,12,11,3,"target",0
"agg",5621,"Auditory",37,"ich",0,"female",30,5,7,33,26,41,"target",0
"agg",8667,"Auditory",17,,0,"female",27,3,6,33,33,44,"target",0
"agg",5449,"Auditory",33,"Ich",0,"female",32,2,6,34,27,41,"target",0
"agg",1034,"Auditory",30,"eng",0,"female",51,3,6,32,23,19,"target",0
"agg",2493,"Auditory",16,"tinte",0,"male",16,2,4,22,18,27,"target",0
"agg",3357,"Auditory",46,"Tinte",0,"female",44,3,5,34,18,31,"target",0
"agg",9513,"Auditory",40,"ich",0,"male",10,1,5,14,5,10,"target",0
"agg",230,"Auditory",25,,0,"male",84,4,7,37,20,31,"target",0
"agg",6178,"Auditory",28,"inklusiv",0,"female",15,2,4,25,27,21,"target",0
"agg",6599,"Auditory",2,,0,"female",10,2,4,9,12,6,"target",0
"agg",7098,"Auditory",38,"tinte",0,"female",62,1,2,35,1,37,"target",0
"agg",4854,"Auditory",14,,0,"male",86,3,7,34,8,9,"target",0
"agg",8798,"Auditory",20,"eng",0,"male",15,2,5,20,18,14,"target",0
"alltid",9093,"Visual",31,,0,"female",15,3,6,18,23,21,"target",0.4285714286
"alltid",9022,"Visual",49,,0,"female",65,2,7,33,12,29,"target",0.4285714286
"alltid",1264,"Visual",6,,0,"male",12,1,5,17,19,11,"target",0.4285714286
"alltid",6618,"Visual",5,,0,"male",44,1,4,33,7,29,"target",0.4285714286
"alltid",8699,"Visual",33,"allzeit",1,"female",80,4,5,36,12,30,"target",0.4285714286
"alltid",7330,"Visual",22,"immer",1,"female",68,4,8,37,12,37,"target",0.4285714286
"alltid",326,"Visual",34,,0,"female",32,3,6,35,19,32,"target",0.4285714286
"alltid",3494,"Visual",4,,0,"female",46,4,5,32,22,28,"target",0.4285714286
"alltid",4854,"Visual",29,,0,"male",86,3,7,34,8,9,"target",0.4285714286
