"VPNID","NumberOfLanguages","InputPortugueseSchool","PortugueseFather","PortugueseMother","PortugueseParents","EducationFather","EducationMother","EducationParents","LanguageGroup","BilingualControl","RegionalLanguage","Time","Result"
"AA_PLF_3",2,30,6,5,11,2,1,3,"Bilingual group (French)","bilingual","French","T3",NA
"AA_PLF_4",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",12
"AA_PLF_4",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",9
"AA_PLF_4",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",16
"AA_PLF_5",2,50,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T1",9
"AA_PLF_5",2,50,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T2",9
"AA_PLF_5",2,50,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T3",14
"AA_PLF_6",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",9
"AA_PLF_6",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",6
"AA_PLF_6",2,20,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",14
"AA_PLF_7",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",8
"AA_PLF_7",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",8
"AA_PLF_7",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",8
"AA_PLF_8",2,50,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T1",10
"AA_PLF_8",2,50,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T2",8
"AA_PLF_8",2,50,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T3",8
"AA_PLF_9",2,30,5,5,10,2,2,4,"Bilingual group (French)","bilingual","French","T1",8
"AA_PLF_9",2,30,5,5,10,2,2,4,"Bilingual group (French)","bilingual","French","T2",NA
"AA_PLF_9",2,30,5,5,10,2,2,4,"Bilingual group (French)","bilingual","French","T3",10
"AA_PLF_10",2,30,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T1",8
"AA_PLF_10",2,30,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T2",6
"AA_PLF_10",2,30,6,6,12,3,2,5,"Bilingual group (French)","bilingual","French","T3",10
"AA_PLF_11",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",10
"AA_PLF_11",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",5
"AA_PLF_11",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",9
"AD_PLF_1",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",8
"AD_PLF_1",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",8
"AD_PLF_1",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",NA
"AD_PLF_2",2,50,4,6,10,2,3,5,"Bilingual group (French)","bilingual","French","T1",8
"AD_PLF_2",2,50,4,6,10,2,3,5,"Bilingual group (French)","bilingual","French","T2",7
"AD_PLF_2",2,50,4,6,10,2,3,5,"Bilingual group (French)","bilingual","French","T3",11
"AD_PLF_4",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",6
"AD_PLF_4",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",8
"AD_PLF_4",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",11
"AD_PLF_6",2,30,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",4
"AD_PLF_6",2,30,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",8
"AD_PLF_6",2,30,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",8
"AD_PLF_8",2,30,6,6,12,1,4,5,"Bilingual group (French)","bilingual","French","T1",7
"AD_PLF_8",2,30,6,6,12,1,4,5,"Bilingual group (French)","bilingual","French","T2",7
"AD_PLF_8",2,30,6,6,12,1,4,5,"Bilingual group (French)","bilingual","French","T3",8
"AD_PLF_10",2,50,5,5,10,1,1,2,"Bilingual group (French)","bilingual","French","T1",7
"AD_PLF_10",2,50,5,5,10,1,1,2,"Bilingual group (French)","bilingual","French","T2",9
"AD_PLF_10",2,50,5,5,10,1,1,2,"Bilingual group (French)","bilingual","French","T3",9
"AD_PLF_11",2,50,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T1",5
"AD_PLF_11",2,50,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T2",5
"AD_PLF_11",2,50,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T3",NA
"AD_PLF_13",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",7
"AD_PLF_13",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",NA
"AD_PLF_13",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",9
"AD_PLF_15",2,50,6,6,12,NA,1,NA,"Bilingual group (French)","bilingual","French","T1",7
"AD_PLF_15",2,50,6,6,12,NA,1,NA,"Bilingual group (French)","bilingual","French","T2",8
"AD_PLF_15",2,50,6,6,12,NA,1,NA,"Bilingual group (French)","bilingual","French","T3",9
"AD_PLF_16",2,45,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T1",8
"AD_PLF_16",2,45,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T2",10
"AD_PLF_16",2,45,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T3",11
"AD_PLF_17",2,0,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T1",7
"AD_PLF_17",2,0,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T2",9
"AD_PLF_17",2,0,6,6,12,5,5,10,"Bilingual group (French)","bilingual","French","T3",7
"AD_PLF_18",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T1",8
"AD_PLF_18",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T2",8
"AD_PLF_18",2,50,6,6,12,1,1,2,"Bilingual group (French)","bilingual","French","T3",9
"AD_PLF_20",2,50,6,6,12,2,4,6,"Bilingual group (French)","bilingual","French","T1",6
"AD_PLF_20",2,50,6,6,12,2,4,6,"Bilingual group (French)","bilingual","French","T2",9
