Participant,Construction,Accent,Speaker,proportion_correct
S287,DO,None,Nezar,0.7
S287,PO,None,Nezar,1
S288,DO,Accent,Nezar,0.6666666666666666
S288,PO,Accent,Nezar,0.8888888888888888
S291,DO,None,Nezar,0.3
S291,PO,None,Nezar,1
S296,DO,Accent,Nezar,0.4444444444444444
S296,PO,Accent,Nezar,0.6666666666666666
S300,DO,None,Idan,1
S300,PO,None,Idan,1
S307,DO,None,Idan,0.3333333333333333
S307,PO,None,Idan,0.4
S309,DO,Accent,Nezar,0.7
S309,PO,Accent,Nezar,0.9
S310,DO,None,Nezar,1
S310,PO,None,Nezar,1
S314,DO,Accent,Idan,0
S314,PO,Accent,Idan,0.4444444444444444
S321,DO,Accent,Nezar,0
S321,PO,Accent,Nezar,0.6666666666666666
S333,DO,None,Nezar,0.9
S333,PO,None,Nezar,1
S337,DO,None,Idan,0.8888888888888888
S337,PO,None,Idan,1
S338,DO,Accent,Idan,0.375
S338,PO,Accent,Idan,0.2222222222222222
S339,DO,None,Idan,0.1111111111111111
S339,PO,None,Idan,1
S340,DO,None,Idan,1
S340,PO,None,Idan,1
S341,DO,Accent,Idan,0.375
S341,PO,Accent,Idan,0.8888888888888888
S346,DO,Accent,Idan,0
S346,PO,Accent,Idan,0
S35,DO,Accent,Nezar,0.9
S35,PO,Accent,Nezar,0.7
S356,DO,None,Idan,0.3333333333333333
S356,PO,None,Idan,0.875
S357,DO,Accent,Nezar,0.6666666666666666
S357,PO,Accent,Nezar,0.4444444444444444
S358,DO,Accent,Nezar,0.1
S358,PO,Accent,Nezar,0.3
S362,DO,Accent,Idan,0.375
S362,PO,Accent,Idan,0.1111111111111111
S366,DO,None,Nezar,0
S366,PO,None,Nezar,0.7777777777777778
S370,DO,Accent,Nezar,0.1
S370,PO,Accent,Nezar,1
S372,DO,None,Idan,1
S372,PO,None,Idan,0.75
S374,DO,Accent,Idan,0.2222222222222222
S374,PO,Accent,Idan,0.8888888888888888
S376,DO,None,Idan,0.7777777777777778
S376,PO,None,Idan,1
S377,DO,None,Nezar,0.5
S377,PO,None,Nezar,0.9
S379,DO,None,Nezar,0
S379,PO,None,Nezar,0.6666666666666666
S382,DO,Accent,Nezar,0.8
S382,PO,Accent,Nezar,0.7
S388,DO,Accent,Nezar,0.6
S388,PO,Accent,Nezar,0.9
S389,DO,Accent,Idan,0
S389,PO,Accent,Idan,0.1111111111111111
S391,DO,Accent,Nezar,0.2222222222222222
S391,PO,Accent,Nezar,0.7777777777777778
S393,DO,Accent,Idan,0
S393,PO,Accent,Idan,0
S4,DO,None,Idan,0
S4,PO,None,Idan,0
S401,DO,None,Nezar,0.3
S401,PO,None,Nezar,0.6
S404,DO,None,Nezar,0.8
S404,PO,None,Nezar,1
S410,DO,Accent,Idan,0.5
S410,PO,Accent,Idan,0.5555555555555556
S416,DO,Accent,Nezar,0.7777777777777778
S416,PO,Accent,Nezar,1
S418,DO,None,Idan,0.1111111111111111
S418,PO,None,Idan,0.4
S419,DO,Accent,Nezar,0.9
S419,PO,Accent,Nezar,1
S420,DO,None,Nezar,0.7
S420,PO,None,Nezar,1
S423,DO,Accent,Nezar,0.2
S423,PO,Accent,Nezar,0.7
S424,DO,None,Idan,0.7777777777777778
S424,PO,None,Idan,0.75
S426,DO,Accent,Nezar,0
S426,PO,Accent,Nezar,0.6666666666666666
S428,DO,Accent,Idan,0
S428,PO,Accent,Idan,0.1111111111111111
S43,DO,Accent,Nezar,0.1
S43,PO,Accent,Nezar,0.4
S430,DO,Accent,Idan,0.25
S430,PO,Accent,Idan,0.8888888888888888
S433,DO,None,Nezar,0
S433,PO,None,Nezar,0
S436,DO,Accent,Idan,0
S436,PO,Accent,Idan,0.5555555555555556
S439,DO,None,Idan,0.7777777777777778
S439,PO,None,Idan,0.9
S443,DO,Accent,Nezar,0
S443,PO,Accent,Nezar,1
S447,DO,None,Nezar,1
S447,PO,None,Nezar,1
S448,DO,None,Idan,0.7777777777777778
S448,PO,None,Idan,1
S450,DO,Accent,Idan,1
S450,PO,Accent,Idan,0.8888888888888888
S455,DO,Accent,Nezar,0.1111111111111111
S455,PO,Accent,Nezar,0.1111111111111111
S46,DO,None,Nezar,1
S46,PO,None,Nezar,1
S460,DO,None,Nezar,1
S460,PO,None,Nezar,1
S464,DO,Accent,Idan,0.1111111111111111
S464,PO,Accent,Idan,0.5555555555555556
S466,DO,None,Nezar,1
S466,PO,None,Nezar,1
S467,DO,None,Nezar,0
S467,PO,None,Nezar,0.8
S469,DO,None,Nezar,0.7
S469,PO,None,Nezar,1
S471,DO,Accent,Idan,1
S471,PO,Accent,Idan,0.8888888888888888
S473,DO,Accent,Nezar,0
S473,PO,Accent,Nezar,0.4
S474,DO,None,Nezar,0.7
S474,PO,None,Nezar,0.8
S478,DO,Accent,Nezar,0.3
S478,PO,Accent,Nezar,0.1
S482,DO,None,Idan,1
S482,PO,None,Idan,0.875
S483,DO,None,Nezar,0.9
S483,PO,None,Nezar,0.9
S485,DO,Accent,Nezar,0.3333333333333333
S485,PO,Accent,Nezar,0.7777777777777778
S487,DO,Accent,Idan,0.625
S487,PO,Accent,Idan,1
S49,DO,None,Idan,0.1111111111111111
S49,PO,None,Idan,0.7
S500,DO,Accent,Nezar,0
S500,PO,Accent,Nezar,0.5
S502,DO,None,Nezar,0.9
S502,PO,None,Nezar,1
S506,DO,Accent,Idan,0
S506,PO,Accent,Idan,0
S509,DO,None,Nezar,0.9
S509,PO,None,Nezar,1
S516,DO,None,Idan,0
S516,PO,None,Idan,0.125
S518,DO,None,Nezar,0.9
S518,PO,None,Nezar,1
S519,DO,None,Idan,1
S519,PO,None,Idan,0.875
S525,DO,None,Nezar,0
S525,PO,None,Nezar,1
S531,DO,None,Nezar,0.7
S531,PO,None,Nezar,0.9
S532,DO,Accent,Idan,0.375
S532,PO,Accent,Idan,0
S533,DO,Accent,Idan,0.2222222222222222
S533,PO,Accent,Idan,0.5555555555555556
S534,DO,None,Idan,0.7777777777777778
S534,PO,None,Idan,0.875
S541,DO,Accent,Idan,0.3333333333333333
S541,PO,Accent,Idan,0.5555555555555556
S545,DO,None,Nezar,0.2
S545,PO,None,Nezar,0.7777777777777778
S548,DO,None,Idan,1
S548,PO,None,Idan,1
S549,DO,None,Nezar,0.6
S549,PO,None,Nezar,0.8
S550,DO,None,Nezar,0.9
S550,PO,None,Nezar,1
S552,DO,None,Idan,0.3333333333333333
S552,PO,None,Idan,0.7
