"Stimulus","Subject","Hand","Session","Block","Mode","Trial","Response","RT","Translation","Correct","Spoken","Written","SpokenProfile","WrittenProfile","Sequence","PositionInSession","Sex","Age","L1","OtherLanguages","NrLang","DS.Span","DS.Total","WST.Right","WST.Wrong","Raven.Right","English.Total","English.MC","English.Cloze","LDT.Hits","LDT.FalseAlarms","LDT.WordRT","LDT.NonwordRT","LDT.APrime","LDT.AverageRT","Simon.CorrectCongruent","Simon.CorrectIncongruent","Simon.CongruentRT","Simon.IncongruentRT","Simon.RTRatio","Simon.RTDifference","HD_LV_Niveau","HD_HV_Niveau","FR_LV_Niveau","FR_HV_Niveau","EN_LV_Niveau","EN_HV_Niveau","ProfileRight","zEnglish.MC","zEnglish.Cloze","English.Overall","Nonresponses","Status","Duration","Swedish","German","English","French","EnglishCognate","SwedishVoc","GermanVoc","EnglishVoc","FrenchVoc","SwedishCons","GermanCons","EnglishCons","FrenchCons","LevGer","LevEng","LevFre","ClosestCognate","MinLev","LevGerCons","LevEngCons","LevFreCons","ClosestCognateCons","MinLevCons","LevGerVoc","LevEngVoc","LevFreVoc","ClosestCognateVoc","MinLevVoc","FreqGerman","FreqEnglish","FreqFrench","FreqTot","FrenchFreq","EnglishFreq","GermanFreq"
"agg","7886","right",1,2,"Auditory",7,"no",1877,"","0",8,2,0,0,"CADB",1,"female",10,"monolingual","English",1,4,6,27,7,26,31,14,17,1,0.05,779.5,717,0.9875,748.25,0.9285714286,0.9285714286,524,489,0.9332061069,-35,6,6,0,0,1,1,FALSE,0.0731596469,0.3494568407,0.4226164876,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","7164","right",1,1,"Auditory",16,"no",2299,"","0",13,4,0,0,"CBDA",1,"male",10,"monolingual","English",1,2,2,4,27,19,5,4,1,0.95,0.2,549,743.5,0.9317434211,646.25,1,1,431,451.5,1.0475638051,20.5,3,3,0,0,1,1,FALSE,-2.094533594,-2.0172349903,-4.1117685844,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","5566","left",1,2,"Auditory",3,"yes",2055,"ich","0",22,28,1,0,"DACB",3,"female",42,"monolingual","English, French, Italian, Dutch",4,3,4,32,6,6,31,16,15,0.95,0.05,231,855,0.9736842105,543,1,0.9285714286,349.5,455,1.3018597997,105.5,4,6,3,3,4,3,TRUE,0.5066982951,0.0536203618,0.5603186569,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","447","right",1,2,"Auditory",47,"yes",3018,"Tinte","0",22,25,0,0,"DACB",3,"female",53,"monolingual","English, French, Italian",3,5,8,34,0,16,30,13,17,1,0.15,296,637,0.9625,466.5,1,1,506,533,1.0533596838,27,6,6,2,2,2,2,FALSE,-0.1436096772,0.3494568407,0.2058471635,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","230","right",1,1,"Auditory",25,"no",2008,"","0",12,26,0,0,"BCAD",2,"male",84,"monolingual","English, French, Italian, Spanish",4,5,7,37,0,20,31,15,16,1,0.1,303.5,512,0.975,407.75,1,1,402.5,475.5,1.1813664596,73,6,6,5,5,3,3,FALSE,0.289928971,0.2015386012,0.4914675722,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","134","right",2,2,"Auditory",38,"no",2354,"","0",24,12,0,0,"ADBC",4,"male",33,"monolingual","English, French, Italian",3,4,6,32,1,24,24,16,8,1,0.05,401,497,0.9875,449,1,1,434,483.5,1.1140552995,49.5,6,6,3,3,4,4,FALSE,0.5066982951,-0.9818073143,-0.4751090192,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","8674","right",1,1,"Auditory",37,"yes",1753,"eng","0",19,17,0,0,"DACB",3,"female",63,"monolingual","English, French, Italian",3,4,6,31,0,23,20,11,9,0.95,0,283,1160.5,0.9875,721.75,1,0.9285714286,528,542,1.0265151515,14,6,6,1,1,2,2,FALSE,-0.5771483254,-0.8338890748,-1.4110374002,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","9318","right",1,1,"Auditory",31,"yes",2258,"ich","0",15,19,0,0,"DBCA",3,"male",72,"monolingual","English, French",2,4,6,34,5,9,19,6,13,1,0.1,281,377.5,0.975,329.25,1,0.9285714286,495,482,0.9737373737,-13,6,6,3,3,2,2,FALSE,-1.6609949459,-0.2422161171,-1.9032110629,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","7616","right",1,2,"Auditory",10,"no",1374,"","0",2,6,0,0,"CADB",1,"female",11,"bilingual","English, French",2,4,6,13,10,2,15,7,8,1,0.15,676,884,0.9625,780,0.8571428571,1,520.5,529,1.0163304515,8.5,4,4,2,2,2,2,FALSE,-1.4442256218,-0.9818073143,-2.426032936,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
"agg","6150","right",1,1,"Auditory",45,"yes",9892,"tinte","0",19,22,0,0,"DBCA",3,"male",63,"monolingual","English, French, Italian, Hebrew",4,4,6,36,0,18,31,16,15,1,0,382,649.5,1,515.75,1,1,492,513.5,1.043699187,21.5,5,5,4,3,4,3,FALSE,0.5066982951,0.0536203618,0.5603186569,61,"target",547,"Eg","ai","Eg",NA,"yes","E-","ai","E-",NA,"-g","0","-g",NA,1,0,1,"Eg",0,1,0,1,"-g",0,1,0,1,"E-",0,24.06,26.04,0,50.1,NA,"egg","ei"
