Participant,Construction,Accent,Speaker,Item,Correct
S115,PO,Accent,Idan,2,TRUE
S115,DO,Accent,Idan,4,FALSE
S115,PO,Accent,Idan,12,TRUE
S115,PO,Accent,Idan,16,TRUE
S115,DO,Accent,Idan,6,FALSE
S115,DO,Accent,Idan,15,FALSE
S115,DO,Accent,Idan,11,FALSE
S115,DO,Accent,Idan,1,TRUE
S115,DO,Accent,Idan,17,TRUE
S115,DO,Accent,Idan,13,TRUE
S115,PO,Accent,Idan,7,FALSE
S117,PO,None,Nezar,3,TRUE
S117,PO,None,Nezar,16,FALSE
S117,DO,None,Nezar,13,TRUE
S117,PO,None,Nezar,5,FALSE
S117,DO,None,Nezar,6,TRUE
S117,DO,None,Nezar,17,FALSE
S117,PO,None,Nezar,9,TRUE
S117,PO,None,Nezar,10,FALSE
S117,DO,None,Nezar,19,TRUE
S117,DO,None,Nezar,20,TRUE
S117,DO,None,Nezar,4,FALSE
S117,PO,None,Nezar,18,FALSE
S117,PO,None,Nezar,7,TRUE
S117,DO,None,Nezar,8,TRUE
S117,PO,None,Nezar,2,TRUE
S117,DO,None,Nezar,11,TRUE
S117,PO,None,Nezar,12,TRUE
S117,DO,None,Nezar,15,TRUE
S117,DO,None,Nezar,1,TRUE
S118,DO,None,Nezar,14,FALSE
S118,DO,None,Nezar,2,TRUE
S118,DO,None,Nezar,3,TRUE
S118,PO,None,Nezar,17,TRUE
S118,DO,None,Nezar,9,TRUE
S118,DO,None,Nezar,10,TRUE
S118,PO,None,Nezar,1,TRUE
S118,DO,None,Nezar,7,TRUE
S118,DO,None,Nezar,18,TRUE
S118,DO,None,Nezar,16,TRUE
S118,PO,None,Nezar,6,TRUE
S118,PO,None,Nezar,20,TRUE
S118,DO,None,Nezar,5,TRUE
S118,DO,None,Nezar,12,TRUE
S118,PO,None,Nezar,8,TRUE
S118,PO,None,Nezar,19,TRUE
S118,PO,None,Nezar,4,TRUE
S118,PO,None,Nezar,15,TRUE
S118,PO,None,Nezar,11,TRUE
S118,PO,None,Nezar,13,TRUE
S119,DO,Accent,Idan,5,FALSE
S119,DO,Accent,Idan,2,FALSE
S119,PO,Accent,Idan,6,FALSE
S119,DO,Accent,Idan,18,FALSE
S119,PO,Accent,Idan,17,FALSE
S119,PO,Accent,Idan,4,FALSE
S119,DO,Accent,Idan,3,FALSE
S119,PO,Accent,Idan,1,FALSE
S119,PO,Accent,Idan,8,FALSE
S119,PO,Accent,Idan,13,FALSE
S119,DO,Accent,Idan,12,TRUE
S119,PO,Accent,Idan,19,FALSE
S119,PO,Accent,Idan,11,FALSE
S119,PO,Accent,Idan,15,FALSE
S119,DO,Accent,Idan,9,FALSE
S119,DO,Accent,Idan,16,FALSE
S119,DO,Accent,Idan,14,FALSE
S119,DO,Accent,Idan,7,FALSE
S12,DO,None,Idan,17,FALSE
S12,PO,None,Idan,9,TRUE
S12,DO,None,Idan,6,FALSE
S12,PO,None,Idan,3,FALSE
S12,DO,None,Idan,15,TRUE
S12,DO,None,Idan,4,FALSE
S12,PO,None,Idan,10,TRUE
S12,DO,None,Idan,20,FALSE
S12,DO,None,Idan,19,FALSE
S12,DO,None,Idan,13,TRUE
S12,PO,None,Idan,12,TRUE
S12,DO,None,Idan,1,FALSE
S12,PO,None,Idan,7,FALSE
S12,DO,None,Idan,11,TRUE
S12,PO,None,Idan,18,FALSE
S12,PO,None,Idan,14,TRUE
S12,PO,None,Idan,16,FALSE
S12,PO,None,Idan,2,FALSE
S12,PO,None,Idan,5,FALSE
S122,DO,None,Nezar,7,TRUE
S122,PO,None,Nezar,4,TRUE
S122,PO,None,Nezar,20,TRUE
S122,DO,None,Nezar,5,TRUE
S122,PO,None,Nezar,6,TRUE
S122,PO,None,Nezar,13,TRUE
S122,PO,None,Nezar,8,TRUE
S122,DO,None,Nezar,3,TRUE
S122,DO,None,Nezar,10,TRUE
S122,DO,None,Nezar,9,TRUE
S122,DO,None,Nezar,14,TRUE
S122,PO,None,Nezar,11,TRUE
S122,PO,None,Nezar,19,TRUE
S122,DO,None,Nezar,12,TRUE
S122,PO,None,Nezar,17,TRUE
S122,PO,None,Nezar,1,TRUE
S122,DO,None,Nezar,2,TRUE
S122,PO,None,Nezar,15,TRUE
S122,DO,None,Nezar,18,TRUE
S122,DO,None,Nezar,16,TRUE
S123,PO,Accent,Nezar,14,TRUE
S123,PO,Accent,Nezar,2,TRUE
S123,DO,Accent,Nezar,20,FALSE
S123,DO,Accent,Nezar,6,FALSE
S123,PO,Accent,Nezar,5,TRUE
S123,PO,Accent,Nezar,10,TRUE
S123,DO,Accent,Nezar,1,FALSE
S123,DO,Accent,Nezar,15,FALSE
S123,DO,Accent,Nezar,13,FALSE
S123,DO,Accent,Nezar,11,FALSE
S123,PO,Accent,Nezar,18,FALSE
S123,DO,Accent,Nezar,19,TRUE
S123,PO,Accent,Nezar,12,TRUE
S123,PO,Accent,Nezar,9,TRUE
S123,PO,Accent,Nezar,7,TRUE
S123,DO,Accent,Nezar,4,FALSE
S123,PO,Accent,Nezar,3,FALSE
S123,DO,Accent,Nezar,17,FALSE
S126,DO,None,Nezar,15,TRUE
S126,DO,None,Nezar,19,TRUE
S126,PO,None,Nezar,18,TRUE
S126,PO,None,Nezar,10,TRUE
S126,DO,None,Nezar,11,FALSE
S126,DO,None,Nezar,20,TRUE
S126,PO,None,Nezar,2,TRUE
S126,PO,None,Nezar,9,TRUE
S126,DO,None,Nezar,8,FALSE
S126,PO,None,Nezar,3,TRUE
S126,DO,None,Nezar,6,TRUE
S126,DO,None,Nezar,17,TRUE
S126,PO,None,Nezar,12,TRUE
S126,DO,None,Nezar,1,TRUE
S126,DO,None,Nezar,4,TRUE
S126,PO,None,Nezar,7,TRUE
S126,PO,None,Nezar,16,TRUE
S126,PO,None,Nezar,5,TRUE
S126,DO,None,Nezar,13,TRUE
S130,DO,None,Nezar,20,TRUE
S130,PO,None,Nezar,2,TRUE
S130,DO,None,Nezar,6,FALSE
S130,DO,None,Nezar,4,TRUE
S130,DO,None,Nezar,15,TRUE
S130,DO,None,Nezar,13,TRUE
S130,PO,None,Nezar,18,TRUE
S130,PO,None,Nezar,9,TRUE
S130,PO,None,Nezar,7,TRUE
S130,PO,None,Nezar,12,TRUE
S130,DO,None,Nezar,1,TRUE
S130,PO,None,Nezar,10,TRUE
S130,DO,None,Nezar,17,TRUE
S130,DO,None,Nezar,19,TRUE
S130,PO,None,Nezar,5,TRUE
S130,PO,None,Nezar,3,TRUE
S130,PO,None,Nezar,16,TRUE
S130,DO,None,Nezar,8,TRUE
S130,DO,None,Nezar,11,TRUE
S131,PO,None,Nezar,10,FALSE
